Merged_Location,lon,lat
"Settlers Tavern & Margaret River Ale Co 
			114 Bussell Hwy, Margaret River, Western Australia",115.07362,-33.94956
"Pinns Palace Resturant
			Shop 3 / 1481 Albany Highway, Beckenham, Western Australia",115.9441052,-32.0275804
"Kookai, Garden City Shopping Centre
			Shop 179/180/125 Riseley St, Booragoon, Western Australia",115.8363884,-32.0342064
"Last Crumb Café/Bakery
			77 West Road, Bassendean, Western Australia",115.9543475,-31.9082666
"The Margaret River Chocolate Company
			5123 W Swan Rd, West Swan, Western Australia",115.986468,-31.8520838
"Pharmacy 777 Canning Bridge
			900 Canning Hwy, Applecross, Western Australia",115.8483599,-32.0128145
"Xiaolongkan Chinese Fondue
			Unit 2 / 191 James St, Northbridge, Western Australia",115.855466,-31.947453
"Kmart Midland Gate Shopping Centre
			274 Great Eastern Hwy, Midland, Western Australia",116.0112532,-31.8892842
"Telstra shop
			Midland Gate Shopping Centre,
			274 Great Eastern Hwy, Midland, Western Australia",116.0104705,-31.8898755
"West Care Medical Centre
			Spencer Village Shopping Centre,
			Shop 4-5 / 208 Spencer Road, Thornlie, Western Australia",115.9526403,-32.0457718
"Seoul BBQ Buffet
			425 Albany Highway, Victoria Park, Western Australia",115.8975556,-31.9754369
"Spiderman movie
			Hoyts Carousel Cinema
			1382 Albany Highway, Cannington, Western Australia",115.9390176,-32.0199521
"Hoyts Carousel Cinema
			1382 Albany Highway, Cannington, Western Australia",115.9390176,-32.0199521
"San Churros
			Kiosk K105 / 1382 Albany Highway,, Cannington, Western Australia",115.9382998,-32.0194963
"Woo Jeong Korean
			542 Hay St, Perth, Western Australia",115.8621459,-31.9550415
"Belmont Medical Centre
			321 Abernethy Rd, Cloverdale, Western Australia",115.9378614,-31.9633433
"Woolworths Stockland Bull Creek Shopping Centre
			44 Benningfield Rd, Bull Creek, Western Australia",115.8574514,-32.0643488
"Big W Cockburn Gateway
			816 Beeliar Drive, Success, Western Australia",115.8583298,-32.1310687
"Woolworths Cockburn Gateway
			816 Beeliar Drive, Success, Western Australia",115.8580816,-32.1323888
"Good Price Pharmacy Jandakot
			626 Karel Ave, Jandakot, Western Australia",115.8697967,-32.0902884
"Australia Post Collection Centre
			7 De Laeter Way, Bentley, Western Australia",115.888881,-31.9923799
"Chemist Warehouse Bentley Plaza
			Shop 11/1140 Albany Hwy,, Bentley, Western Australia",115.9203023,-32.0013306
"P&N Bank Cockburn Gateways
			shop 121, 816 Beeliar Dr, Success, Western Australia",115.858067226917,-32.1322487751129
"Bunnings Cannington
			27 Liege St, Cannington, Western Australia",115.9409618,-32.0225511
"Spudshed Jandakot
			630 Karel Ave, Jandakot, Western Australia",115.8705596,-32.0902719
"Homecraft Textiles
			Albany Hwy, St James, St James, Western Australia",115.912865,-31.99427
"Harvest Lakes Discount Drug Store Pharmacy
			2/23 Gibbs Rd, Atwell, Western Australia",115.8616495,-32.1571255
"Bunnings Midland
			Cnr Lloyd & Clayton St, Midland, Western Australia",116.0121824,-31.8984963
"Suisen Japanese Restaurant
			8/57 Old Perth Rd, Bassendean, Western Australia",115.9508451,-31.905172
"Emperors Kitchen
			1/18 Cecil Avenue, Cannington, Western Australia",115.9365937,-32.0168324
"Truck Moves Australia
			253 Berkshire Road, Forrestfield, Western Australia",115.9986017,-31.9662711
"Shell (Dunning’s) Southern Cross
			22 Great Eastern Hwy, Southern Cross, Western Australia",119.3318483,-31.2321637
"Coolgardie Goldrush Motel
			47-53 Bailey St, Coolgardie, Western Australia",121.1655238,-30.954448
"Norseman BP,
			1 Coolgardie-Esperance Hwy, Norseman, Western Australia",121.7792068,-32.1855494
"Medicare Fremantle 
			11 Queen Victoria Street, Fremantle, Western Australia",115.7504298,-32.0493044
"Winthrop Village Shopping Centre 
			Corner Jackson Avenue & Somerville Blvd, Winthrop, Western Australia",,
"Kwinana Commonwealth Bank
			Shop 31, Kwinana Marketplace,
			4 Chisham Ave, Kwinana Town Centre, Kwinana, Western Australia",115.8149052,-32.2450053
"Aldi Kwinana
			32 Meares Avenue, Kwinana, Western Australia",115.8153905,-32.2437756
"Kwinana Repco 
			3/46 Meares Ave, Kwinana, Western Australia",115.8160448,-32.246931
"Coles Express
			1 Johnson Road, Casuarina, Western Australia",115.8484761,-32.2322615
"Leda Essentials
			Stargate S/C 6 Feilman Dr, Leda, Western Australia",115.8062645,-32.2597607
"Chemist Warehouse Leda
			Tenancy No 1 Stargate S/C 6 to, 8 Feilman Dr, Leda, Western Australia",115.806903,-32.259379
"Woolworths – Westfield Carousel Shopping Centre
			1382 Albany Hwy, Cannington, Western Australia",115.9398861,-32.0174893
"Liberty Fuel Beckenham
			63 William St, Beckenham, Western Australia",115.954791,-32.022114
"Kmart Rockingham Shopping Centre
			1 Council Ave, Rockingham, Western Australia",115.7446689,-32.2895359
"Rockingham Central Lottery Centre
			Kiosk 5 / 1 Council Ave, Rockingham, Western Australia",115.7475343,-32.289341
"Rockingham Shopping Centre
			1 Council Ave, Rockingham, Western Australia",115.744946,-32.289574
"BP Petrol Station Cowaramup,
			Corner Bussell Hwy and Roy Earl Drive, Cowaramup, Western Australia",115.1004448,-33.8551933
"Fremantle Pharmacy
			82B High Street, Fremantle, Western Australia",115.7455235,-32.0545464
"Sundancer Backpackers Hostel
			80 High Street Fremantle, Fremantle, Western Australia",115.7453365,-32.0545336
"Healthy Thai Vegan and Vegetarian Cuisine
			867a Albany Highway, East Victoria Park, Western Australia",115.9032518,-31.9854836
"Blue Cat Bus – South Beach to Fremantle Markets
			Corner of Henderson Street and South Terrace, Fremantle, Western Australia",115.7488507,-32.0562643
"Fremantle Markets
			Corner of Henderson Street and South Terrace, Fremantle, Western Australia",115.7488507,-32.0562643
"Yagan Square
			Wellington Street, Perth, Western Australia",115.8586121,-31.9505672
"BWS
			166 Murray Street, Perth, Western Australia",115.8605423,-31.9528876
"Woolworths
			166 Murray Street, Perth, Western Australia",115.8602924,-31.9532549
"Ampol Foodary
			810 Beaufort Street, Mount Lawley, Western Australia",115.8816746,-31.9251432
"Diver’s Tavern
			12 Cable Beach Road W
			 

			Related to a case that has tested positive in Queensland, Broome, Western Australia",122.2136111,-17.9347222
"Shou Japanese Kitchen
			Shop 24, 18 Calectasia Street, Greenwood, Western Australia",115.8024272,-31.8318693
"The Lucky Shag Waterfront Bar
			Barrack Street Jetty, Perth, Western Australia",115.8588644,-31.9596139
